branch_id,branch_code,month_number,month_name,tier,province,city,compliance_score,risk_score,exceptions_count
9,SMA009,7,July,Small,Manitoba,Brandon,87.39,11.78,2
9,SMA009,8,August,Small,Manitoba,Brandon,85.26,12.36,1
9,SMA009,9,September,Small,Manitoba,Brandon,82.99,14.93,4
9,SMA009,10,October,Small,Manitoba,Brandon,82.83,16.63,0
9,SMA009,11,November,Small,Manitoba,Brandon,84.71,15.19,4
9,SMA009,12,December,Small,Manitoba,Brandon,87.23,13.79,4
10,SMA010,1,January,Small,Alberta,Calgary,89.58,9.06,4
10,SMA010,2,February,Small,Alberta,Calgary,90.56,8.04,3
10,SMA010,3,March,Small,Alberta,Calgary,92.16,8.66,1
10,SMA010,4,April,Small,Alberta,Calgary,93.57,9.38,2
10,SMA010,5,May,Small,Alberta,Calgary,92.23,7.32,3
10,SMA010,6,June,Small,Alberta,Calgary,90.44,12.3,0
10,SMA010,7,July,Small,Alberta,Calgary,89.6,10.66,0
10,SMA010,8,August,Small,Alberta,Calgary,84.25,16.42,0
10,SMA010,9,September,Small,Alberta,Calgary,84.26,13.94,4
10,SMA010,10,October,Small,Alberta,Calgary,84.96,15.74,0
10,SMA010,11,November,Small,Alberta,Calgary,83.4,15.58,0
10,SMA010,12,December,Small,Alberta,Calgary,85.37,15.37,1
11,SMA011,1,January,Small,Northwest Territories,Yellowknife,88.89,12.18,0
11,SMA011,2,February,Small,Northwest Territories,Yellowknife,90.91,8.51,2
11,SMA011,3,March,Small,Northwest Territories,Yellowknife,93.61,6.49,4
11,SMA011,4,April,Small,Northwest Territories,Yellowknife,92.9,7.09,0
11,SMA011,5,May,Small,Northwest Territories,Yellowknife,94.08,5.18,4
11,SMA011,6,June,Small,Northwest Territories,Yellowknife,90.42,10.27,2
11,SMA011,7,July,Small,Northwest Territories,Yellowknife,88.49,10.08,3
11,SMA011,8,August,Small,Northwest Territories,Yellowknife,84.05,16.71,2
11,SMA011,9,September,Small,Northwest Territories,Yellowknife,83.23,14.9,4
11,SMA011,10,October,Small,Northwest Territories,Yellowknife,84.02,15.16,0
11,SMA011,11,November,Small,Northwest Territories,Yellowknife,84.75,16.41,3
11,SMA011,12,December,Small,Northwest Territories,Yellowknife,85.84,14.25,3
12,SMA012,1,January,Small,Ontario,Windsor,89.84,8.91,1
12,SMA012,2,February,Small,Ontario,Windsor,90.34,9.04,0
12,SMA012,3,March,Small,Ontario,Windsor,93.77,3.78,1
12,SMA012,4,April,Small,Ontario,Windsor,90.82,8.84,4
12,SMA012,5,May,Small,Ontario,Windsor,93.27,6.55,2
12,SMA012,6,June,Small,Ontario,Windsor,90.2,10.35,2
12,SMA012,7,July,Small,Ontario,Windsor,88.11,11.79,0
12,SMA012,8,August,Small,Ontario,Windsor,85.97,14.52,0
12,SMA012,9,September,Small,Ontario,Windsor,85.39,15.28,4
12,SMA012,10,October,Small,Ontario,Windsor,80,22.47,4
12,SMA012,11,November,Small,Ontario,Windsor,84.58,15.4,1
12,SMA012,12,December,Small,Ontario,Windsor,83.36,16.14,1
13,SMA013,1,January,Small,British Columbia,Kelowna,89.28,9.64,1
13,SMA013,2,February,Small,British Columbia,Kelowna,88.61,13.25,2
13,SMA013,3,March,Small,British Columbia,Kelowna,92.91,5.83,3
13,SMA013,4,April,Small,British Columbia,Kelowna,94.24,4.92,2
13,SMA013,5,May,Small,British Columbia,Kelowna,90.69,10.42,4
13,SMA013,6,June,Small,British Columbia,Kelowna,90.86,11.2,1
13,SMA013,7,July,Small,British Columbia,Kelowna,86.59,13.07,3
13,SMA013,8,August,Small,British Columbia,Kelowna,85.63,16.28,1
13,SMA013,9,September,Small,British Columbia,Kelowna,83.72,17.16,3
13,SMA013,10,October,Small,British Columbia,Kelowna,83.67,17.67,1
13,SMA013,11,November,Small,British Columbia,Kelowna,82.81,17.35,3
13,SMA013,12,December,Small,British Columbia,Kelowna,83.58,14.55,0
14,SMA014,1,January,Small,Alberta,Edmonton,87.91,12.63,2
14,SMA014,2,February,Small,Alberta,Edmonton,90.58,9.03,1
14,SMA014,3,March,Small,Alberta,Edmonton,93.48,7.25,0
14,SMA014,4,April,Small,Alberta,Edmonton,92.84,9.14,4
14,SMA014,5,May,Small,Alberta,Edmonton,94.0,5.31,1
14,SMA014,6,June,Small,Alberta,Edmonton,89.93,10.74,3
14,SMA014,7,July,Small,Alberta,Edmonton,86.91,15.07,1
14,SMA014,8,August,Small,Alberta,Edmonton,86.66,12.16,1
14,SMA014,9,September,Small,Alberta,Edmonton,82.91,17.96,1
14,SMA014,10,October,Small,Alberta,Edmonton,84.36,16.2,3
14,SMA014,11,November,Small,Alberta,Edmonton,82.23,18.2,0
14,SMA014,12,December,Small,Alberta,Edmonton,85.49,12.6,4
15,SMA015,1,January,Small,Quebec,Longueuil,87.5,13.47,2
15,SMA015,2,February,Small,Quebec,Longueuil,89.65,10.19,3
15,SMA015,3,March,Small,Quebec,Longueuil,93.28,6.44,3
15,SMA015,4,April,Small,Quebec,Longueuil,92.76,5.72,0
15,SMA015,5,May,Small,Quebec,Longueuil,92.72,6.92,1
15,SMA015,6,June,Small,Quebec,Longueuil,91.0,8.5,2
15,SMA015,7,July,Small,Quebec,Longueuil,86.3,13.0,4
15,SMA015,8,August,Small,Quebec,Longueuil,85.66,15.28,3
15,SMA015,9,September,Small,Quebec,Longueuil,83.25,17.68,0
15,SMA015,10,October,Small,Quebec,Longueuil,81.74,20.91,2
15,SMA015,11,November,Small,Quebec,Longueuil,83.83,16.13,0
15,SMA015,12,December,Small,Quebec,Longueuil,84.24,16.49,2
16,SMA016,1,January,Small,Yukon,Whitehorse,86.26,14.37,3
16,SMA016,2,February,Small,Yukon,Whitehorse,91.01,9.54,4
16,SMA016,3,March,Small,Yukon,Whitehorse,92.62,8.69,0
16,SMA016,4,April,Small,Yukon,Whitehorse,93.82,8.11,0
16,SMA016,5,May,Small,Yukon,Whitehorse,92.52,7.28,4
16,SMA016,6,June,Small,Yukon,Whitehorse,91.68,7.75,2
16,SMA016,7,July,Small,Yukon,Whitehorse,87.65,13.3,3
16,SMA016,8,August,Small,Yukon,Whitehorse,87.56,14.24,4
16,SMA016,9,September,Small,Yukon,Whitehorse,83.2,18.68,4
16,SMA016,10,October,Small,Yukon,Whitehorse,82.29,17.4,4
16,SMA016,11,November,Small,Yukon,Whitehorse,84.19,17.28,2
16,SMA016,12,December,Small,Yukon,Whitehorse,86.59,14.25,2
17,SMA017,1,January,Small,Nova Scotia,Sydney,88.62,11.2,0
17,SMA017,2,February,Small,Nova Scotia,Sydney,89.68,11.85,0
17,SMA017,3,March,Small,Nova Scotia,Sydney,93.16,7.33,2
17,SMA017,4,April,Small,Nova Scotia,Sydney,93.71,7.58,2
17,SMA017,5,May,Small,Nova Scotia,Sydney,93.27,5.54,2
17,SMA017,6,June,Small,Nova Scotia,Sydney,91.52,10.56,3
17,SMA017,7,July,Small,Nova Scotia,Sydney,87.91,10.31,4
17,SMA017,8,August,Small,Nova Scotia,Sydney,85.52,14.76,4
17,SMA017,9,September,Small,Nova Scotia,Sydney,83.64,17.76,1
17,SMA017,10,October,Small,Nova Scotia,Sydney,81.33,17.48,0
17,SMA017,11,November,Small,Nova Scotia,Sydney,84.59,15.9,0
17,SMA017,12,December,Small,Nova Scotia,Sydney,85.32,16.05,3
18,SMA018,1,January,Small,Alberta,Lethbridge,89.38,9.44,3
18,SMA018,2,February,Small,Alberta,Lethbridge,90.31,10.57,2
18,SMA018,3,March,Small,Alberta,Lethbridge,92.56,7.33,1
18,SMA018,4,April,Small,Alberta,Lethbridge,93.98,6.24,3
18,SMA018,5,May,Small,Alberta,Lethbridge,91.07,8.24,3
18,SMA018,6,June,Small,Alberta,Lethbridge,90.34,9.47,0
18,SMA018,7,July,Small,Alberta,Lethbridge,88.63,10.93,1
18,SMA018,8,August,Small,Alberta,Lethbridge,86.06,13.45,4
18,SMA018,9,September,Small,Alberta,Lethbridge,83.69,16.46,4
18,SMA018,10,October,Small,Alberta,Lethbridge,82.67,14.74,1
18,SMA018,11,November,Small,Alberta,Lethbridge,84.15,16.21,3
18,SMA018,12,December,Small,Alberta,Lethbridge,84.34,15.75,3
19,SMA019,1,January,Small,British Columbia,Kelowna,88.17,13.41,2
19,SMA019,2,February,Small,British Columbia,Kelowna,90.27,9.04,3
19,SMA019,3,March,Small,British Columbia,Kelowna,93.82,7.06,0
19,SMA019,4,April,Small,British Columbia,Kelowna,94.7,4.27,3
19,SMA019,5,May,Small,British Columbia,Kelowna,91.27,9.53,4
19,SMA019,6,June,Small,British Columbia,Kelowna,89.58,12.45,2
19,SMA019,7,July,Small,British Columbia,Kelowna,88.45,11.65,0
19,SMA019,8,August,Small,British Columbia,Kelowna,85.14,16.35,1
19,SMA019,9,September,Small,British Columbia,Kelowna,84.41,14.78,3
19,SMA019,10,October,Small,British Columbia,Kelowna,83.63,16.74,4
19,SMA019,11,November,Small,British Columbia,Kelowna,84.55,16.66,3
19,SMA019,12,December,Small,British Columbia,Kelowna,85.44,12.48,2
20,SMA020,1,January,Small,New Brunswick,Moncton,88.85,10.08,2
20,SMA020,2,February,Small,New Brunswick,Moncton,89.91,9.04,4
20,SMA020,3,March,Small,New Brunswick,Moncton,92.81,6.6,3
20,SMA020,4,April,Small,New Brunswick,Moncton,92.66,7.06,2
20,SMA020,5,May,Small,New Brunswick,Moncton,92.39,9.2,4
20,SMA020,6,June,Small,New Brunswick,Moncton,90.03,10.76,4
20,SMA020,7,July,Small,New Brunswick,Moncton,88.28,9.05,2
20,SMA020,8,August,Small,New Brunswick,Moncton,85.9,12.87,2
20,SMA020,9,September,Small,New Brunswick,Moncton,83.94,15.05,2
20,SMA020,10,October,Small,New Brunswick,Moncton,84.3,14.64,3
20,SMA020,11,November,Small,New Brunswick,Moncton,83.71,14.48,0
20,SMA020,12,December,Small,New Brunswick,Moncton,85.39,12.62,1
21,SMA021,1,January,Small,Prince Edward Island,Charlottetown,87.21,12.08,3
21,SMA021,2,February,Small,Prince Edward Island,Charlottetown,89.1,11.42,4
21,SMA021,3,March,Small,Prince Edward Island,Charlottetown,92.5,6.73,0
21,SMA021,4,April,Small,Prince Edward Island,Charlottetown,93.54,6.64,2
21,SMA021,5,May,Small,Prince Edward Island,Charlottetown,90.97,8.25,0
21,SMA021,6,June,Small,Prince Edward Island,Charlottetown,90.56,8.54,2
21,SMA021,7,July,Small,Prince Edward Island,Charlottetown,87.88,10.57,3
21,SMA021,8,August,Small,Prince Edward Island,Charlottetown,85.89,14.81,2
21,SMA021,9,September,Small,Prince Edward Island,Charlottetown,82.77,18.78,2
21,SMA021,10,October,Small,Prince Edward Island,Charlottetown,83.22,15.68,2
21,SMA021,11,November,Small,Prince Edward Island,Charlottetown,83.21,17.09,0
21,SMA021,12,December,Small,Prince Edward Island,Charlottetown,86.54,14.95,2
22,SMA022,1,January,Small,Yukon,Whitehorse,87.02,13.95,3
22,SMA022,2,February,Small,Yukon,Whitehorse,91.39,10.32,1
22,SMA022,3,March,Small,Yukon,Whitehorse,91.35,7.68,3
22,SMA022,4,April,Small,Yukon,Whitehorse,93.78,6.37,4
22,SMA022,5,May,Small,Yukon,Whitehorse,93.43,7.02,4
22,SMA022,6,June,Small,Yukon,Whitehorse,90.36,9.87,0
22,SMA022,7,July,Small,Yukon,Whitehorse,87.97,11.17,4
22,SMA022,8,August,Small,Yukon,Whitehorse,84.93,16.62,1
22,SMA022,9,September,Small,Yukon,Whitehorse,81.92,19.51,4
22,SMA022,10,October,Small,Yukon,Whitehorse,81.63,17.56,1
22,SMA022,11,November,Small,Yukon,Whitehorse,83.22,17.35,2
22,SMA022,12,December,Small,Yukon,Whitehorse,86.42,13.49,0
23,SMA023,1,January,Small,Nova Scotia,Dartmouth,87.3,12.75,4
23,SMA023,2,February,Small,Nova Scotia,Dartmouth,90.93,8.46,0
23,SMA023,3,March,Small,Nova Scotia,Dartmouth,93.76,7.13,4
23,SMA023,4,April,Small,Nova Scotia,Dartmouth,93.83,5.39,0
23,SMA023,5,May,Small,Nova Scotia,Dartmouth,90.23,9.67,2
23,SMA023,6,June,Small,Nova Scotia,Dartmouth,91.19,8.46,2
23,SMA023,7,July,Small,Nova Scotia,Dartmouth,86.75,11.38,3
23,SMA023,8,August,Small,Nova Scotia,Dartmouth,85.22,16.39,1
23,SMA023,9,September,Small,Nova Scotia,Dartmouth,81.62,18.36,1
23,SMA023,10,October,Small,Nova Scotia,Dartmouth,83.29,15.51,1
23,SMA023,11,November,Small,Nova Scotia,Dartmouth,83.23,16.07,0
23,SMA023,12,December,Small,Nova Scotia,Dartmouth,84.0,15.78,2
24,SMA024,1,January,Small,Newfoundland and Labrador,Corner Brook,88.21,12.91,2
24,SMA024,2,February,Small,Newfoundland and Labrador,Corner Brook,88.61,11.62,3
24,SMA024,3,March,Small,Newfoundland and Labrador,Corner Brook,94.37,5.78,0
24,SMA024,4,April,Small,Newfoundland and Labrador,Corner Brook,93.3,7.2,2
24,SMA024,5,May,Small,Newfoundland and Labrador,Corner Brook,93.11,7.16,2
24,SMA024,6,June,Small,Newfoundland and Labrador,Corner Brook,91.92,7.67,2
24,SMA024,7,July,Small,Newfoundland and Labrador,Corner Brook,88.23,11.1,1
24,SMA024,8,August,Small,Newfoundland and Labrador,Corner Brook,85.06,14.79,4
24,SMA024,9,September,Small,Newfoundland and Labrador,Corner Brook,83.41,17.87,2
24,SMA024,10,October,Small,Newfoundland and Labrador,Corner Brook,82.62,19.01,0
24,SMA024,11,November,Small,Newfoundland and Labrador,Corner Brook,83.08,15.95,1
24,SMA024,12,December,Small,Newfoundland and Labrador,Corner Brook,84.36,15.47,4
25,SMA025,1,January,Small,Alberta,Lethbridge,88.88,10.33,4
25,SMA025,2,February,Small,Alberta,Lethbridge,90.34,8.05,2
25,SMA025,3,March,Small,Alberta,Lethbridge,92.58,9.31,1
25,SMA025,4,April,Small,Alberta,Lethbridge,91.99,6.35,2
25,SMA025,5,May,Small,Alberta,Lethbridge,91.98,7.4,1
25,SMA025,6,June,Small,Alberta,Lethbridge,91.62,8.85,0
25,SMA025,7,July,Small,Alberta,Lethbridge,89.56,9.31,1
25,SMA025,8,August,Small,Alberta,Lethbridge,85.06,14.05,0
25,SMA025,9,September,Small,Alberta,Lethbridge,83.12,18.14,3
25,SMA025,10,October,Small,Alberta,Lethbridge,81.12,19.84,3
25,SMA025,11,November,Small,Alberta,Lethbridge,82.45,16.52,4
25,SMA025,12,December,Small,Alberta,Lethbridge,86.61,13.67,1
26,SMA026,1,January,Small,Alberta,Calgary,89.33,9.91,3
26,SMA026,2,February,Small,Alberta,Calgary,90.63,9.67,1
26,SMA026,3,March,Small,Alberta,Calgary,93.7,5.84,0
26,SMA026,4,April,Small,Alberta,Calgary,91.33,7.77,3
26,SMA026,5,May,Small,Alberta,Calgary,93.24,6.75,0
26,SMA026,6,June,Small,Alberta,Calgary,90.63,10.03,4
26,SMA026,7,July,Small,Alberta,Calgary,87.09,10.7,0
26,SMA026,8,August,Small,Alberta,Calgary,84.47,17.44,2
26,SMA026,9,September,Small,Alberta,Calgary,83.2,15.98,1
26,SMA026,10,October,Small,Alberta,Calgary,82.54,17.5,4
26,SMA026,11,November,Small,Alberta,Calgary,84.14,16.34,2
26,SMA026,12,December,Small,Alberta,Calgary,85.17,14.71,2
27,SMA027,1,January,Small,British Columbia,Kelowna,86.35,14.5,4
27,SMA027,2,February,Small,British Columbia,Kelowna,90.18,10.35,1
27,SMA027,3,March,Small,British Columbia,Kelowna,92.26,8.6,0
27,SMA027,4,April,Small,British Columbia,Kelowna,92.13,6.92,2
27,SMA027,5,May,Small,British Columbia,Kelowna,92.7,7.17,0
27,SMA027,6,June,Small,British Columbia,Kelowna,90.64,9.38,4
27,SMA027,7,July,Small,British Columbia,Kelowna,88.4,11.05,4
27,SMA027,8,August,Small,British Columbia,Kelowna,84.51,14.52,4
27,SMA027,9,September,Small,British Columbia,Kelowna,82.69,18.37,4
27,SMA027,10,October,Small,British Columbia,Kelowna,81.18,19.24,3
27,SMA027,11,November,Small,British Columbia,Kelowna,81.57,18.52,1
27,SMA027,12,December,Small,British Columbia,Kelowna,85.47,15.97,2
28,SMA028,1,January,Small,Nova Scotia,Sydney,89.2,13.17,2
28,SMA028,2,February,Small,Nova Scotia,Sydney,92.51,11.36,3
28,SMA028,3,March,Small,Nova Scotia,Sydney,91.07,8.6,3
28,SMA028,4,April,Small,Nova Scotia,Sydney,94.58,6.95,2
28,SMA028,5,May,Small,Nova Scotia,Sydney,92.59,8.95,4
28,SMA028,6,June,Small,Nova Scotia,Sydney,91.54,9.22,3
28,SMA028,7,July,Small,Nova Scotia,Sydney,89.21,11.94,0
28,SMA028,8,August,Small,Nova Scotia,Sydney,85.38,13.57,0
28,SMA028,9,September,Small,Nova Scotia,Sydney,83.07,14.33,0
28,SMA028,10,October,Small,Nova Scotia,Sydney,84.43,14.58,4
28,SMA028,11,November,Small,Nova Scotia,Sydney,82.63,18.21,0
28,SMA028,12,December,Small,Nova Scotia,Sydney,86.46,12.37,3
29,SMA029,1,January,Small,Manitoba,Portage la Prairie,88.12,11.99,0
29,SMA029,2,February,Small,Manitoba,Portage la Prairie,90.38,9.38,3
29,SMA029,3,March,Small,Manitoba,Portage la Prairie,92.71,7.16,4
29,SMA029,4,April,Small,Manitoba,Portage la Prairie,92.75,8.04,2
29,SMA029,5,May,Small,Manitoba,Portage la Prairie,92.92,6.78,3
29,SMA029,6,June,Small,Manitoba,Portage la Prairie,89.75,9.59,0
29,SMA029,7,July,Small,Manitoba,Portage la Prairie,86.94,14.65,1
29,SMA029,8,August,Small,Manitoba,Portage la Prairie,84.03,14.84,2
29,SMA029,9,September,Small,Manitoba,Portage la Prairie,84.99,14.77,4
29,SMA029,10,October,Small,Manitoba,Portage la Prairie,82.99,17.35,3
29,SMA029,11,November,Small,Manitoba,Portage la Prairie,81.83,19.25,1
29,SMA029,12,December,Small,Manitoba,Portage la Prairie,85.38,13.55,2
30,SMA030,1,January,Small,Newfoundland and Labrador,Corner Brook,88.67,11.91,2
30,SMA030,2,February,Small,Newfoundland and Labrador,Corner Brook,90.14,9.32,3
30,SMA030,3,March,Small,Newfoundland and Labrador,Corner Brook,92.8,8.93,4
30,SMA030,4,April,Small,Newfoundland and Labrador,Corner Brook,93.1,4.28,2
30,SMA030,5,May,Small,Newfoundland and Labrador,Corner Brook,92.04,8.16,3
30,SMA030,6,June,Small,Newfoundland and Labrador,Corner Brook,90.52,8.78,4
30,SMA030,7,July,Small,Newfoundland and Labrador,Corner Brook,88.95,13.31,4
30,SMA030,8,August,Small,Newfoundland and Labrador,Corner Brook,85.16,14.81,1
30,SMA030,9,September,Small,Newfoundland and Labrador,Corner Brook,83.57,16.43,4
30,SMA030,10,October,Small,Newfoundland and Labrador,Corner Brook,81.49,16.4,3
30,SMA030,11,November,Small,Newfoundland and Labrador,Corner Brook,83.43,18.28,1
30,SMA030,12,December,Small,Newfoundland and Labrador,Corner Brook,87.14,14.58,2
31,SMA031,1,January,Small,Saskatchewan,Saskatoon,87.42,11.92,4
31,SMA031,2,February,Small,Saskatchewan,Saskatoon,92.42,7.48,2
31,SMA031,3,March,Small,Saskatchewan,Saskatoon,90.67,11.12,3
31,SMA031,4,April,Small,Saskatchewan,Saskatoon,92.4,6.09,4
31,SMA031,5,May,Small,Saskatchewan,Saskatoon,91.72,9.14,0
31,SMA031,6,June,Small,Saskatchewan,Saskatoon,91.88,8.86,2
31,SMA031,7,July,Small,Saskatchewan,Saskatoon,87.56,12.37,4
31,SMA031,8,August,Small,Saskatchewan,Saskatoon,85.55,17.23,1
31,SMA031,9,September,Small,Saskatchewan,Saskatoon,83.75,16.76,0
31,SMA031,10,October,Small,Saskatchewan,Saskatoon,83.62,16.17,3
31,SMA031,11,November,Small,Saskatchewan,Saskatoon,85.4,14.34,1
31,SMA031,12,December,Small,Saskatchewan,Saskatoon,87.26,10.32,4
32,SMA032,1,January,Small,New Brunswick,Fredericton,89.4,11.07,2
32,SMA032,2,February,Small,New Brunswick,Fredericton,92.11,7.17,2
