employee_id,branch_id,branch_code,role,tier,month_number,month_name,target_lending,target_investing,target_banking_units,target_lei,target_compliance
10,2,SMA002,Teller,Small,2,February,0.0,0.0,575.58,76.54,0.0
10,2,SMA002,Teller,Small,3,March,0.0,0.0,572.91,79.23,0.0
10,2,SMA002,Teller,Small,4,April,0.0,0.0,577.44,82.64,0.0
10,2,SMA002,Teller,Small,5,May,0.0,0.0,595.47,79.37,0.0
10,2,SMA002,Teller,Small,6,June,0.0,0.0,570.29,77.7,0.0
10,2,SMA002,Teller,Small,7,July,0.0,0.0,538.47,74.26,0.0
10,2,SMA002,Teller,Small,8,August,0.0,0.0,534.68,75.57,0.0
10,2,SMA002,Teller,Small,9,September,0.0,0.0,526.29,73.14,0.0
10,2,SMA002,Teller,Small,10,October,0.0,0.0,542.29,73.04,0.0
10,2,SMA002,Teller,Small,11,November,0.0,0.0,527.64,71.11,0.0
10,2,SMA002,Teller,Small,12,December,0.0,0.0,570.26,72.08,0.0
11,2,SMA002,Teller,Small,1,January,0.0,0.0,536.28,78.0,0.0
11,2,SMA002,Teller,Small,2,February,0.0,0.0,599.74,79.97,0.0
11,2,SMA002,Teller,Small,3,March,0.0,0.0,592.13,81.72,0.0
11,2,SMA002,Teller,Small,4,April,0.0,0.0,596.06,78.65,0.0
11,2,SMA002,Teller,Small,5,May,0.0,0.0,588.29,77.93,0.0
11,2,SMA002,Teller,Small,6,June,0.0,0.0,565.55,78.53,0.0
11,2,SMA002,Teller,Small,7,July,0.0,0.0,534.01,74.79,0.0
11,2,SMA002,Teller,Small,8,August,0.0,0.0,517.2,75.21,0.0
11,2,SMA002,Teller,Small,9,September,0.0,0.0,555.59,70.15,0.0
11,2,SMA002,Teller,Small,10,October,0.0,0.0,520.22,71.2,0.0
11,2,SMA002,Teller,Small,11,November,0.0,0.0,532.63,72.74,0.0
11,2,SMA002,Teller,Small,12,December,0.0,0.0,565.47,74.85,0.0
12,2,SMA002,Teller,Small,1,January,0.0,0.0,574.19,74.71,0.0
12,2,SMA002,Teller,Small,2,February,0.0,0.0,597.9,79.61,0.0
12,2,SMA002,Teller,Small,3,March,0.0,0.0,592.24,82.12,0.0
12,2,SMA002,Teller,Small,4,April,0.0,0.0,595.66,80.19,0.0
12,2,SMA002,Teller,Small,5,May,0.0,0.0,616.21,79.79,0.0
12,2,SMA002,Teller,Small,6,June,0.0,0.0,564.15,79.14,0.0
12,2,SMA002,Teller,Small,7,July,0.0,0.0,548.57,76.32,0.0
12,2,SMA002,Teller,Small,8,August,0.0,0.0,529.65,74.4,0.0
12,2,SMA002,Teller,Small,9,September,0.0,0.0,539.44,73.5,0.0
12,2,SMA002,Teller,Small,10,October,0.0,0.0,500.55,69.46,0.0
12,2,SMA002,Teller,Small,11,November,0.0,0.0,526.05,72.39,0.0
12,2,SMA002,Teller,Small,12,December,0.0,0.0,567.82,73.46,0.0
13,3,SMA003,Manager,Small,1,January,2571.68,1756.72,599.7,78.69,86.28
13,3,SMA003,Manager,Small,2,February,2670.59,1882.92,601.48,83.16,88.92
13,3,SMA003,Manager,Small,3,March,2631.67,1882.23,619.65,84.43,91.06
13,3,SMA003,Manager,Small,4,April,2769.7,2001.87,666.23,82.34,95.21
13,3,SMA003,Manager,Small,5,May,2721.79,1901.19,602.44,82.82,90.4
13,3,SMA003,Manager,Small,6,June,2576.79,1782.28,591.89,80.94,91.02
13,3,SMA003,Manager,Small,7,July,2582.28,1832.58,574.28,79.65,86.85
13,3,SMA003,Manager,Small,8,August,2309.74,1764.68,573.87,79.81,87.4
13,3,SMA003,Manager,Small,9,September,2340.4,1781.98,557.11,73.71,82.77
13,3,SMA003,Manager,Small,10,October,2300.86,1632.79,569.15,73.42,81.29
13,3,SMA003,Manager,Small,11,November,2325.8,1743.29,582.59,77.13,84.49
13,3,SMA003,Manager,Small,12,December,2531.69,1724.85,586.81,78.33,83.57
14,3,SMA003,Advisor,Small,1,January,1847.27,1420.89,439.12,80.15,0.0
14,3,SMA003,Advisor,Small,2,February,1866.13,1513.78,438.24,81.47,0.0
14,3,SMA003,Advisor,Small,3,March,1821.81,1528.49,455.0,82.58,0.0
14,3,SMA003,Advisor,Small,4,April,1911.88,1456.83,431.62,83.05,0.0
14,3,SMA003,Advisor,Small,5,May,1861.09,1516.78,462.92,80.73,0.0
14,3,SMA003,Advisor,Small,6,June,1941.58,1469.84,430.22,82.55,0.0
14,3,SMA003,Advisor,Small,7,July,1724.34,1408.46,402.21,77.36,0.0
14,3,SMA003,Advisor,Small,8,August,1698.92,1396.88,396.39,77.15,0.0
14,3,SMA003,Advisor,Small,9,September,1779.12,1293.4,414.47,74.72,0.0
14,3,SMA003,Advisor,Small,10,October,1709.86,1354.93,388.55,71.64,0.0
14,3,SMA003,Advisor,Small,11,November,1707.33,1280.59,397.95,75.64,0.0
14,3,SMA003,Advisor,Small,12,December,1690.11,1351.76,393.82,75.29,0.0
15,3,SMA003,Advisor,Small,1,January,1838.05,1395.78,403.24,79.73,0.0
15,3,SMA003,Advisor,Small,2,February,1765.74,1393.97,414.13,80.41,0.0
15,3,SMA003,Advisor,Small,3,March,1872.34,1461.31,425.36,83.02,0.0
15,3,SMA003,Advisor,Small,4,April,1868.58,1459.78,459.66,81.87,0.0
15,3,SMA003,Advisor,Small,5,May,1819.26,1505.47,422.99,84.12,0.0
15,3,SMA003,Advisor,Small,6,June,1930.14,1460.87,443.01,80.03,0.0
15,3,SMA003,Advisor,Small,7,July,1836.02,1432.68,429.4,78.42,0.0
15,3,SMA003,Advisor,Small,8,August,1747.64,1310.78,387.35,76.08,0.0
15,3,SMA003,Advisor,Small,9,September,1698.54,1303.42,385.3,74.93,0.0
15,3,SMA003,Advisor,Small,10,October,1738.19,1280.77,394.54,71.33,0.0
15,3,SMA003,Advisor,Small,11,November,1710.77,1328.35,415.22,72.99,0.0
15,3,SMA003,Advisor,Small,12,December,1790.92,1419.59,388.74,77.68,0.0
16,3,SMA003,Teller,Small,1,January,0.0,0.0,547.58,77.73,0.0
16,3,SMA003,Teller,Small,2,February,0.0,0.0,564.56,78.22,0.0
16,3,SMA003,Teller,Small,3,March,0.0,0.0,574.93,80.46,0.0
16,3,SMA003,Teller,Small,4,April,0.0,0.0,569.62,80.81,0.0
16,3,SMA003,Teller,Small,5,May,0.0,0.0,561.98,81.82,0.0
16,3,SMA003,Teller,Small,6,June,0.0,0.0,595.4,77.67,0.0
16,3,SMA003,Teller,Small,7,July,0.0,0.0,556.91,74.3,0.0
16,3,SMA003,Teller,Small,8,August,0.0,0.0,565.97,72.04,0.0
16,3,SMA003,Teller,Small,9,September,0.0,0.0,511.62,71.09,0.0
16,3,SMA003,Teller,Small,10,October,0.0,0.0,539.26,70.25,0.0
16,3,SMA003,Teller,Small,11,November,0.0,0.0,528.43,73.07,0.0
16,3,SMA003,Teller,Small,12,December,0.0,0.0,564.51,71.68,0.0
17,3,SMA003,Teller,Small,1,January,0.0,0.0,542.66,76.27,0.0
17,3,SMA003,Teller,Small,2,February,0.0,0.0,584.14,77.09,0.0
17,3,SMA003,Teller,Small,3,March,0.0,0.0,571.17,79.81,0.0
17,3,SMA003,Teller,Small,4,April,0.0,0.0,571.74,81.21,0.0
17,3,SMA003,Teller,Small,5,May,0.0,0.0,572.26,79.63,0.0
17,3,SMA003,Teller,Small,6,June,0.0,0.0,550.2,79.16,0.0
17,3,SMA003,Teller,Small,7,July,0.0,0.0,551.53,76.14,0.0
17,3,SMA003,Teller,Small,8,August,0.0,0.0,563.57,74.46,0.0
17,3,SMA003,Teller,Small,9,September,0.0,0.0,533.21,71.17,0.0
17,3,SMA003,Teller,Small,10,October,0.0,0.0,540.29,71.1,0.0
17,3,SMA003,Teller,Small,11,November,0.0,0.0,513.71,74.02,0.0
17,3,SMA003,Teller,Small,12,December,0.0,0.0,523.0,75.41,0.0
18,3,SMA003,Teller,Small,1,January,0.0,0.0,570.48,73.85,0.0
18,3,SMA003,Teller,Small,2,February,0.0,0.0,571.55,78.57,0.0
18,3,SMA003,Teller,Small,3,March,0.0,0.0,607.3,79.59,0.0
18,3,SMA003,Teller,Small,4,April,0.0,0.0,576.92,81.22,0.0
18,3,SMA003,Teller,Small,5,May,0.0,0.0,611.23,80.12,0.0
18,3,SMA003,Teller,Small,6,June,0.0,0.0,583.19,76.54,0.0
18,3,SMA003,Teller,Small,7,July,0.0,0.0,553.23,77.28,0.0
18,3,SMA003,Teller,Small,8,August,0.0,0.0,519.49,71.73,0.0
18,3,SMA003,Teller,Small,9,September,0.0,0.0,548.85,71.6,0.0
18,3,SMA003,Teller,Small,10,October,0.0,0.0,519.76,71.07,0.0
18,3,SMA003,Teller,Small,11,November,0.0,0.0,549.24,73.15,0.0
18,3,SMA003,Teller,Small,12,December,0.0,0.0,518.34,72.76,0.0
19,4,SMA004,Manager,Small,1,January,2532.89,1833.85,572.03,81.2,89.65
19,4,SMA004,Manager,Small,2,February,2543.55,1835.6,637.67,84.26,92.61
19,4,SMA004,Manager,Small,3,March,2518.53,1894.38,644.02,85.33,89.91
19,4,SMA004,Manager,Small,4,April,2714.3,1915.96,662.65,82.74,93.77
19,4,SMA004,Manager,Small,5,May,2601.27,1956.3,653.86,85.59,92.16
19,4,SMA004,Manager,Small,6,June,2637.7,1817.32,615.46,80.42,93.19
19,4,SMA004,Manager,Small,7,July,2519.05,1777.78,595.77,78.67,87.51
19,4,SMA004,Manager,Small,8,August,2371.3,1708.36,593.81,77.63,84.76
19,4,SMA004,Manager,Small,9,September,2486.98,1745.3,594.5,77.04,84.5
19,4,SMA004,Manager,Small,10,October,2338.78,1705.18,537.2,76.42,82.46
19,4,SMA004,Manager,Small,11,November,2364.6,1639.74,558.05,74.22,84.08
19,4,SMA004,Manager,Small,12,December,2324.03,1756.63,564.99,79.66,85.84
20,4,SMA004,Advisor,Small,1,January,1725.1,1386.45,434.2,78.11,0.0
20,4,SMA004,Advisor,Small,2,February,1902.31,1378.4,432.32,79.92,0.0
20,4,SMA004,Advisor,Small,3,March,1956.84,1404.49,450.17,82.54,0.0
20,4,SMA004,Advisor,Small,4,April,1863.76,1440.85,447.98,82.62,0.0
20,4,SMA004,Advisor,Small,5,May,1980.53,1433.83,440.12,81.97,0.0
20,4,SMA004,Advisor,Small,6,June,1898.44,1475.61,450.82,79.98,0.0
20,4,SMA004,Advisor,Small,7,July,1732.91,1331.91,420.84,76.23,0.0
20,4,SMA004,Advisor,Small,8,August,1810.56,1305.54,423.11,75.64,0.0
20,4,SMA004,Advisor,Small,9,September,1710.67,1279.45,413.08,73.58,0.0
20,4,SMA004,Advisor,Small,10,October,1627.3,1381.24,403.48,74.99,0.0
20,4,SMA004,Advisor,Small,11,November,1676.16,1378.96,400.72,72.46,0.0
20,4,SMA004,Advisor,Small,12,December,1778.31,1399.12,425.81,75.08,0.0
21,4,SMA004,Advisor,Small,1,January,1794.98,1359.49,412.87,79.15,0.0
21,4,SMA004,Advisor,Small,2,February,1933.32,1393.58,441.9,80.21,0.0
21,4,SMA004,Advisor,Small,3,March,1832.79,1468.4,463.62,79.62,0.0
21,4,SMA004,Advisor,Small,4,April,1850.62,1423.73,443.36,80.67,0.0
21,4,SMA004,Advisor,Small,5,May,1911.42,1408.94,447.85,83.94,0.0
21,4,SMA004,Advisor,Small,6,June,1763.92,1397.68,423.26,82.32,0.0
21,4,SMA004,Advisor,Small,7,July,1841.28,1381.42,431.21,80.03,0.0
21,4,SMA004,Advisor,Small,8,August,1770.72,1317.61,411.17,73.86,0.0
21,4,SMA004,Advisor,Small,9,September,1651.58,1335.7,383.31,74.05,0.0
21,4,SMA004,Advisor,Small,10,October,1672.19,1325.96,408.75,73.78,0.0
21,4,SMA004,Advisor,Small,11,November,1746.96,1342.64,414.47,72.66,0.0
21,4,SMA004,Advisor,Small,12,December,1699.18,1319.49,424.9,76.18,0.0
22,4,SMA004,Teller,Small,1,January,0.0,0.0,536.36,78.14,0.0
22,4,SMA004,Teller,Small,2,February,0.0,0.0,575.17,77.35,0.0
22,4,SMA004,Teller,Small,3,March,0.0,0.0,605.24,80.94,0.0
22,4,SMA004,Teller,Small,4,April,0.0,0.0,568.56,81.07,0.0
22,4,SMA004,Teller,Small,5,May,0.0,0.0,576.0,78.24,0.0
22,4,SMA004,Teller,Small,6,June,0.0,0.0,562.41,76.5,0.0
22,4,SMA004,Teller,Small,7,July,0.0,0.0,580.5,77.62,0.0
22,4,SMA004,Teller,Small,8,August,0.0,0.0,549.55,75.38,0.0
22,4,SMA004,Teller,Small,9,September,0.0,0.0,553.9,74.19,0.0
22,4,SMA004,Teller,Small,10,October,0.0,0.0,530.94,70.7,0.0
22,4,SMA004,Teller,Small,11,November,0.0,0.0,505.05,71.07,0.0
22,4,SMA004,Teller,Small,12,December,0.0,0.0,570.13,74.62,0.0
23,4,SMA004,Teller,Small,1,January,0.0,0.0,533.7,76.99,0.0
23,4,SMA004,Teller,Small,2,February,0.0,0.0,557.98,79.45,0.0
23,4,SMA004,Teller,Small,3,March,0.0,0.0,581.41,80.49,0.0
23,4,SMA004,Teller,Small,4,April,0.0,0.0,614.43,78.54,0.0
23,4,SMA004,Teller,Small,5,May,0.0,0.0,601.5,79.06,0.0
23,4,SMA004,Teller,Small,6,June,0.0,0.0,585.75,79.4,0.0
23,4,SMA004,Teller,Small,7,July,0.0,0.0,582.27,74.49,0.0
23,4,SMA004,Teller,Small,8,August,0.0,0.0,516.81,74.45,0.0
23,4,SMA004,Teller,Small,9,September,0.0,0.0,514.6,73.18,0.0
23,4,SMA004,Teller,Small,10,October,0.0,0.0,502.42,71.91,0.0
23,4,SMA004,Teller,Small,11,November,0.0,0.0,549.06,73.96,0.0
23,4,SMA004,Teller,Small,12,December,0.0,0.0,541.37,75.21,0.0
24,4,SMA004,Teller,Small,1,January,0.0,0.0,583.41,74.55,0.0
24,4,SMA004,Teller,Small,2,February,0.0,0.0,549.12,76.73,0.0
24,4,SMA004,Teller,Small,3,March,0.0,0.0,611.32,82.08,0.0
24,4,SMA004,Teller,Small,4,April,0.0,0.0,615.24,81.76,0.0
24,4,SMA004,Teller,Small,5,May,0.0,0.0,576.56,78.89,0.0
24,4,SMA004,Teller,Small,6,June,0.0,0.0,563.7,76.87,0.0
24,4,SMA004,Teller,Small,7,July,0.0,0.0,537.18,75.34,0.0
24,4,SMA004,Teller,Small,8,August,0.0,0.0,561.1,74.55,0.0
24,4,SMA004,Teller,Small,9,September,0.0,0.0,512.62,72.35,0.0
24,4,SMA004,Teller,Small,10,October,0.0,0.0,535.98,70.53,0.0
24,4,SMA004,Teller,Small,11,November,0.0,0.0,543.81,71.05,0.0
24,4,SMA004,Teller,Small,12,December,0.0,0.0,530.21,75.59,0.0
25,5,SMA005,Manager,Small,1,January,2532.78,1795.54,598.03,79.15,88.34
25,5,SMA005,Manager,Small,2,February,2615.76,1928.4,607.02,80.45,89.87
25,5,SMA005,Manager,Small,3,March,2735.37,1828.91,629.63,83.33,94.81
25,5,SMA005,Manager,Small,4,April,2567.08,1880.91,614.55,85.04,94.69
25,5,SMA005,Manager,Small,5,May,2613.86,1915.61,637.08,85.14,93.86
25,5,SMA005,Manager,Small,6,June,2568.19,1806.46,631.8,82.9,90.55
25,5,SMA005,Manager,Small,7,July,2475.29,1717.22,625.74,78.72,90.3
25,5,SMA005,Manager,Small,8,August,2528.52,1677.53,577.69,76.53,85.76
25,5,SMA005,Manager,Small,9,September,2392.16,1649.14,549.85,74.94,83.91
25,5,SMA005,Manager,Small,10,October,2396.44,1696.08,589.46,75.51,80.93
25,5,SMA005,Manager,Small,11,November,2408.83,1755.71,543.44,73.98,84.89
25,5,SMA005,Manager,Small,12,December,2338.05,1719.13,575.95,77.42,86.17
26,5,SMA005,Advisor,Small,1,January,1746.07,1354.09,411.92,76.52,0.0
26,5,SMA005,Advisor,Small,2,February,1842.24,1474.32,417.64,80.61,0.0
26,5,SMA005,Advisor,Small,3,March,1799.79,1422.57,424.15,82.3,0.0
26,5,SMA005,Advisor,Small,4,April,1853.14,1479.89,439.69,82.5,0.0
26,5,SMA005,Advisor,Small,5,May,1972.48,1456.19,433.8,84.2,0.0
26,5,SMA005,Advisor,Small,6,June,1821.95,1410.74,440.16,82.14,0.0
26,5,SMA005,Advisor,Small,7,July,1806.14,1378.56,427.13,80.2,0.0
26,5,SMA005,Advisor,Small,8,August,1813.32,1314.29,396.61,75.03,0.0
26,5,SMA005,Advisor,Small,9,September,1621.42,1340.42,394.12,72.07,0.0
26,5,SMA005,Advisor,Small,10,October,1691.99,1256.02,386.98,71.53,0.0
26,5,SMA005,Advisor,Small,11,November,1651.84,1280.9,390.65,74.72,0.0
26,5,SMA005,Advisor,Small,12,December,1704.27,1419.79,394.34,75.2,0.0
27,5,SMA005,Advisor,Small,1,January,1729.16,1442.87,413.54,79.09,0.0
27,5,SMA005,Advisor,Small,2,February,1836.29,1486.26,417.93,78.55,0.0
27,5,SMA005,Advisor,Small,3,March,1928.81,1400.82,448.62,82.89,0.0
27,5,SMA005,Advisor,Small,4,April,1823.0,1472.87,455.98,80.77,0.0
27,5,SMA005,Advisor,Small,5,May,1970.83,1473.05,454.24,83.1,0.0
27,5,SMA005,Advisor,Small,6,June,1941.47,1386.0,418.71,79.97,0.0
27,5,SMA005,Advisor,Small,7,July,1866.66,1341.2,399.29,80.1,0.0
27,5,SMA005,Advisor,Small,8,August,1703.72,1360.02,412.07,77.35,0.0
27,5,SMA005,Advisor,Small,9,September,1700.46,1266.18,412.82,73.77,0.0
27,5,SMA005,Advisor,Small,10,October,1708.81,1298.8,391.87,74.09,0.0
27,5,SMA005,Advisor,Small,11,November,1625.16,1296.36,389.94,73.58,0.0
27,5,SMA005,Advisor,Small,12,December,1710.68,1294.94,391.58,76.71,0.0
28,5,SMA005,Teller,Small,1,January,0.0,0.0,561.96,74.29,0.0
28,5,SMA005,Teller,Small,2,February,0.0,0.0,567.88,78.08,0.0
28,5,SMA005,Teller,Small,3,March,0.0,0.0,614.56,81.49,0.0
28,5,SMA005,Teller,Small,4,April,0.0,0.0,566.19,81.09,0.0
28,5,SMA005,Teller,Small,5,May,0.0,0.0,589.84,81.03,0.0
28,5,SMA005,Teller,Small,6,June,0.0,0.0,571.07,76.8,0.0
28,5,SMA005,Teller,Small,7,July,0.0,0.0,536.44,77.88,0.0
28,5,SMA005,Teller,Small,8,August,0.0,0.0,570.08,74.23,0.0
28,5,SMA005,Teller,Small,9,September,0.0,0.0,506.95,72.37,0.0
28,5,SMA005,Teller,Small,10,October,0.0,0.0,536.34,70.09,0.0
28,5,SMA005,Teller,Small,11,November,0.0,0.0,513.98,71.12,0.0
