employee_id,branch_id,month_number,month_name,survey_response_count,lei_score
8,2,6,June,7,4.37
8,2,7,July,4,4.42
8,2,8,August,11,3.5
8,2,9,September,15,3.54
8,2,10,October,5,3.68
8,2,11,November,8,3.38
8,2,12,December,13,4.22
9,2,1,January,14,3.98
9,2,2,February,8,4.2
9,2,3,March,15,4.31
9,2,4,April,8,4.01
9,2,5,May,12,4.0
9,2,6,June,12,3.8
9,2,7,July,10,3.88
9,2,8,August,14,4.11
9,2,9,September,4,3.9
9,2,10,October,5,3.55
9,2,11,November,8,3.48
9,2,12,December,9,3.76
10,2,1,January,14,4.16
10,2,2,February,4,3.27
10,2,3,March,6,3.88
10,2,4,April,12,3.91
10,2,5,May,13,3.95
10,2,6,June,9,4.01
10,2,7,July,15,3.7
10,2,8,August,4,3.9
10,2,9,September,13,3.88
10,2,10,October,8,3.56
10,2,11,November,7,3.22
10,2,12,December,13,3.71
11,2,1,January,10,4.32
11,2,2,February,11,4.05
11,2,3,March,6,4.36
11,2,4,April,9,4.56
11,2,5,May,8,4.0
11,2,6,June,6,4.11
11,2,7,July,14,3.86
11,2,8,August,5,3.64
11,2,9,September,11,3.41
11,2,10,October,11,3.42
11,2,11,November,11,3.67
11,2,12,December,10,3.88
12,2,1,January,13,3.68
12,2,2,February,11,3.66
12,2,3,March,13,4.51
12,2,4,April,13,4.14
12,2,5,May,9,3.82
12,2,6,June,6,3.64
12,2,7,July,9,3.88
12,2,8,August,13,3.6
12,2,9,September,12,3.57
12,2,10,October,14,3.06
12,2,11,November,15,3.42
12,2,12,December,9,3.63
13,3,1,January,11,3.88
13,3,2,February,15,4.3
13,3,3,March,5,4.27
13,3,4,April,10,4.34
13,3,5,May,4,4.45
13,3,6,June,12,3.8
13,3,7,July,7,4.32
13,3,8,August,6,3.88
13,3,9,September,13,3.78
13,3,10,October,9,3.6
13,3,11,November,10,3.6
13,3,12,December,14,3.99
14,3,1,January,13,4.31
14,3,2,February,12,4.05
14,3,3,March,4,4.22
14,3,4,April,9,3.92
14,3,5,May,14,3.72
14,3,6,June,11,3.89
14,3,7,July,6,3.6
14,3,8,August,12,3.74
14,3,9,September,10,3.55
14,3,10,October,7,3.52
14,3,11,November,9,3.41
14,3,12,December,15,4.3
15,3,1,January,5,4.01
15,3,2,February,4,3.85
15,3,3,March,9,3.99
15,3,4,April,10,3.94
15,3,5,May,12,4.08
15,3,6,June,4,4.26
15,3,7,July,13,4.15
15,3,8,August,14,4.01
15,3,9,September,12,4.01
15,3,10,October,15,3.56
15,3,11,November,5,3.7
15,3,12,December,9,3.59
16,3,1,January,10,3.82
16,3,2,February,9,4.01
16,3,3,March,12,4.15
16,3,4,April,5,3.7
16,3,5,May,11,3.8
16,3,6,June,6,4.07
16,3,7,July,8,3.83
16,3,8,August,15,3.48
16,3,9,September,7,3.68
16,3,10,October,9,3.53
16,3,11,November,7,3.55
16,3,12,December,11,3.87
17,3,1,January,12,4.07
17,3,2,February,13,3.93
17,3,3,March,4,3.98
17,3,4,April,9,3.9
17,3,5,May,7,3.91
17,3,6,June,9,3.93
17,3,7,July,8,3.32
17,3,8,August,5,3.88
17,3,9,September,10,3.36
17,3,10,October,13,3.52
17,3,11,November,14,3.48
17,3,12,December,14,3.4
18,3,1,January,5,3.97
18,3,2,February,15,4.01
18,3,3,March,12,3.84
18,3,4,April,4,4.48
18,3,5,May,9,4.09
18,3,6,June,11,3.65
18,3,7,July,11,3.94
18,3,8,August,6,3.67
18,3,9,September,8,3.16
18,3,10,October,7,3.54
18,3,11,November,13,3.81
18,3,12,December,14,3.33
19,4,1,January,10,4.17
19,4,2,February,9,4.09
19,4,3,March,13,4.47
19,4,4,April,13,4.3
19,4,5,May,11,4.26
19,4,6,June,14,4.02
19,4,7,July,4,3.55
19,4,8,August,7,3.83
19,4,9,September,4,4.3
19,4,10,October,9,4.19
19,4,11,November,15,3.63
19,4,12,December,7,3.62
20,4,1,January,4,4.01
20,4,2,February,12,4.21
20,4,3,March,8,3.99
20,4,4,April,14,3.86
20,4,5,May,6,4.39
20,4,6,June,10,4.35
20,4,7,July,6,3.6
20,4,8,August,15,3.65
20,4,9,September,8,3.58
20,4,10,October,11,4.07
20,4,11,November,9,3.58
20,4,12,December,13,4.1
21,4,1,January,8,3.66
21,4,2,February,10,4.13
21,4,3,March,8,3.8
21,4,4,April,4,3.79
21,4,5,May,10,4.25
21,4,6,June,6,4.33
21,4,7,July,8,4.14
21,4,8,August,4,3.76
21,4,9,September,7,3.49
21,4,10,October,11,3.73
21,4,11,November,7,3.68
21,4,12,December,5,3.85
22,4,1,January,13,3.96
22,4,2,February,5,3.65
22,4,3,March,8,4.33
22,4,4,April,4,4.44
22,4,5,May,7,3.9
22,4,6,June,11,3.75
22,4,7,July,12,3.81
22,4,8,August,10,3.83
22,4,9,September,4,4.04
22,4,10,October,8,3.48
22,4,11,November,6,3.63
22,4,12,December,13,3.66
23,4,1,January,7,3.97
23,4,2,February,11,4.47
23,4,3,March,8,4.32
23,4,4,April,12,4.16
23,4,5,May,10,3.92
23,4,6,June,15,3.91
23,4,7,July,5,3.73
23,4,8,August,6,3.81
23,4,9,September,14,3.87
23,4,10,October,11,3.39
23,4,11,November,5,4.03
23,4,12,December,8,3.8
24,4,1,January,6,3.8
24,4,2,February,8,3.31
24,4,3,March,8,3.92
24,4,4,April,8,4.05
24,4,5,May,14,3.82
24,4,6,June,14,3.56
24,4,7,July,4,4.34
24,4,8,August,8,3.36
24,4,9,September,12,3.68
24,4,10,October,4,3.45
24,4,11,November,13,3.37
24,4,12,December,12,3.49
25,5,1,January,14,4.42
25,5,2,February,10,4.05
25,5,3,March,8,4.02
25,5,4,April,11,4.45
25,5,5,May,11,4.05
25,5,6,June,10,4.05
25,5,7,July,7,4.0
25,5,8,August,13,3.76
25,5,9,September,5,3.64
25,5,10,October,7,3.82
25,5,11,November,14,3.74
25,5,12,December,4,3.91
26,5,1,January,6,3.81
26,5,2,February,8,3.85
26,5,3,March,15,3.61
26,5,4,April,5,4.25
26,5,5,May,8,4.31
26,5,6,June,10,3.76
26,5,7,July,13,4.05
26,5,8,August,8,3.58
26,5,9,September,8,3.5
26,5,10,October,13,3.56
26,5,11,November,7,3.16
26,5,12,December,9,3.75
27,5,1,January,14,4.26
27,5,2,February,9,3.94
27,5,3,March,12,4.34
27,5,4,April,13,4.04
27,5,5,May,9,3.67
27,5,6,June,7,4.13
27,5,7,July,15,3.81
27,5,8,August,12,3.41
27,5,9,September,15,3.47
27,5,10,October,13,3.82
27,5,11,November,4,3.45
27,5,12,December,6,3.97
28,5,1,January,11,4.36
28,5,2,February,9,3.65
28,5,3,March,5,4.07
28,5,4,April,4,3.95
28,5,5,May,8,3.91
28,5,6,June,12,3.89
28,5,7,July,15,3.92
28,5,8,August,15,3.83
28,5,9,September,5,3.26
28,5,10,October,4,3.72
28,5,11,November,9,3.58
28,5,12,December,10,3.93
29,5,1,January,14,3.46
29,5,2,February,13,4.25
29,5,3,March,15,3.91
29,5,4,April,8,3.62
29,5,5,May,7,3.66
29,5,6,June,12,4.14
29,5,7,July,14,3.92
29,5,8,August,9,3.39
29,5,9,September,13,3.72
29,5,10,October,11,3.72
29,5,11,November,9,3.14
29,5,12,December,12,4.0
30,5,1,January,13,4.06
30,5,2,February,4,3.73
30,5,3,March,15,3.74
30,5,4,April,4,4.07
30,5,5,May,10,4.2
30,5,6,June,6,3.93
30,5,7,July,15,4.05
30,5,8,August,10,3.49
30,5,9,September,9,3.33
30,5,10,October,5,3.93
30,5,11,November,13,3.97
30,5,12,December,8,3.78
31,6,1,January,13,3.78
31,6,2,February,15,4.25
31,6,3,March,11,4.19
31,6,4,April,15,4.54
31,6,5,May,10,3.89
31,6,6,June,14,4.54
31,6,7,July,5,4.29
31,6,8,August,8,3.82
31,6,9,September,15,3.71
31,6,10,October,4,3.43
31,6,11,November,11,3.93
31,6,12,December,10,3.98
32,6,1,January,9,3.58
32,6,2,February,5,3.94
32,6,3,March,10,3.98
32,6,4,April,8,4.11
32,6,5,May,15,3.99
32,6,6,June,6,4.24
32,6,7,July,13,3.9
32,6,8,August,13,3.98
32,6,9,September,9,3.45
32,6,10,October,5,3.6
32,6,11,November,15,3.93
32,6,12,December,6,3.99
33,6,1,January,13,3.99
33,6,2,February,9,3.9
33,6,3,March,6,3.9
33,6,4,April,7,3.38
33,6,5,May,5,4.45
33,6,6,June,15,4.15
33,6,7,July,6,3.81
33,6,8,August,9,3.27
33,6,9,September,5,3.48
33,6,10,October,15,3.79
33,6,11,November,7,3.53
33,6,12,December,7,3.71
34,6,1,January,8,3.53
34,6,2,February,14,3.75
34,6,3,March,4,4.22
34,6,4,April,10,3.7
34,6,5,May,4,4.26
34,6,6,June,8,4.05
34,6,7,July,11,3.54
34,6,8,August,8,3.75
34,6,9,September,4,3.79
34,6,10,October,15,3.31
34,6,11,November,4,3.95
34,6,12,December,12,3.63
35,6,1,January,8,3.96
35,6,2,February,4,3.58
35,6,3,March,10,4.05
35,6,4,April,10,3.65
35,6,5,May,8,4.03
35,6,6,June,5,4.04
35,6,7,July,11,3.43
35,6,8,August,9,3.5
35,6,9,September,7,3.62
35,6,10,October,4,3.28
35,6,11,November,5,4.27
35,6,12,December,8,3.52
36,6,1,January,11,3.66
36,6,2,February,14,3.77
36,6,3,March,8,4.12
36,6,4,April,13,4.29
36,6,5,May,15,3.66
36,6,6,June,10,3.57
36,6,7,July,7,3.89
36,6,8,August,10,3.37
36,6,9,September,5,3.61
36,6,10,October,11,3.52
36,6,11,November,4,3.51
36,6,12,December,6,3.76
37,7,1,January,14,4.25
37,7,2,February,8,3.87
37,7,3,March,8,4.03
37,7,4,April,13,3.83
37,7,5,May,10,4.6
37,7,6,June,5,4.12
37,7,7,July,8,4.12
37,7,8,August,11,3.96
37,7,9,September,15,3.5
37,7,10,October,12,3.26
37,7,11,November,8,4.1
37,7,12,December,14,3.88
38,7,1,January,8,3.67
38,7,2,February,10,4.09
38,7,3,March,14,4.41
38,7,4,April,6,4.42
38,7,5,May,4,4.21
38,7,6,June,5,4.16
38,7,7,July,13,3.98
38,7,8,August,12,3.71
38,7,9,September,15,3.43
38,7,10,October,8,3.53
38,7,11,November,5,3.92
38,7,12,December,11,3.25
39,7,1,January,15,3.92
39,7,2,February,7,4.19
39,7,3,March,13,4.15
39,7,4,April,7,4.09
39,7,5,May,6,4.05
39,7,6,June,5,4.3
39,7,7,July,14,4.11
39,7,8,August,14,3.78
39,7,9,September,6,4.17
39,7,10,October,15,3.44
39,7,11,November,5,3.47
39,7,12,December,8,3.89
40,7,1,January,15,4.0
40,7,2,February,13,3.83
40,7,3,March,11,3.75
40,7,4,April,14,4.25
40,7,5,May,8,4.29
40,7,6,June,12,3.94
40,7,7,July,8,3.57
40,7,8,August,7,3.59
40,7,9,September,14,3.5
40,7,10,October,14,3.39
40,7,11,November,4,3.44
40,7,12,December,13,3.3
41,7,1,January,12,3.94
41,7,2,February,4,3.71
41,7,3,March,5,3.89
41,7,4,April,7,4.08
41,7,5,May,13,3.97
41,7,6,June,4,4.07
41,7,7,July,5,3.88
41,7,8,August,4,4.0
41,7,9,September,5,3.51
41,7,10,October,13,3.2
41,7,11,November,13,3.63
41,7,12,December,4,3.58
42,7,1,January,8,4.1
42,7,2,February,4,3.84
42,7,3,March,10,3.75
42,7,4,April,6,4.66
42,7,5,May,13,3.63
42,7,6,June,9,4.2
42,7,7,July,7,4.09
42,7,8,August,13,3.86
42,7,9,September,9,4.21
42,7,10,October,8,3.24
42,7,11,November,14,3.87
42,7,12,December,4,3.5
43,8,1,January,12,3.92
43,8,2,February,10,3.97
43,8,3,March,9,4.44
43,8,4,April,13,4.31
43,8,5,May,15,4.42
43,8,6,June,13,4.25
43,8,7,July,6,4.18
43,8,8,August,8,3.93
43,8,9,September,13,3.8
43,8,10,October,14,3.76
43,8,11,November,8,4.11
43,8,12,December,6,4.19
44,8,1,January,11,4.08
44,8,2,February,6,3.59
44,8,3,March,5,4.39
44,8,4,April,15,3.88
44,8,5,May,4,4.49
44,8,6,June,6,3.91
44,8,7,July,4,3.98
44,8,8,August,15,3.64
44,8,9,September,7,3.34
44,8,10,October,5,3.74
44,8,11,November,9,3.47
44,8,12,December,6,3.67
45,8,1,January,11,3.69
45,8,2,February,10,4.14
45,8,3,March,5,4.4
45,8,4,April,11,4.07
45,8,5,May,14,4.0
45,8,6,June,7,4.03
45,8,7,July,4,3.94
45,8,8,August,15,4.24
45,8,9,September,10,3.54
45,8,10,October,15,3.65
45,8,11,November,6,3.78
45,8,12,December,7,4.24
46,8,1,January,15,4.5
46,8,2,February,15,4.36
46,8,3,March,14,3.76
46,8,4,April,5,4.32
46,8,5,May,14,3.98
46,8,6,June,12,4.24
46,8,7,July,8,3.66
46,8,8,August,12,3.58
46,8,9,September,10,3.76
46,8,10,October,8,3.63
46,8,11,November,7,3.68
46,8,12,December,13,3.75
47,8,1,January,9,3.67
47,8,2,February,13,3.57
47,8,3,March,5,3.99
47,8,4,April,10,4.22
47,8,5,May,8,4.02
47,8,6,June,15,4.05
47,8,7,July,15,3.52
47,8,8,August,5,3.69
47,8,9,September,9,3.81
47,8,10,October,5,3.48
47,8,11,November,4,3.53
47,8,12,December,15,3.74
48,8,1,January,14,4.09
48,8,2,February,7,3.6
48,8,3,March,5,3.51
48,8,4,April,12,4.0
48,8,5,May,7,4.36
48,8,6,June,6,3.51
48,8,7,July,9,3.88
48,8,8,August,6,3.41
48,8,9,September,7,3.52
48,8,10,October,4,3.27
48,8,11,November,15,3.11
48,8,12,December,15,3.79
49,9,1,January,8,3.85
49,9,2,February,15,4.32
49,9,3,March,8,4.28
49,9,4,April,8,4.51
49,9,5,May,4,4.23
49,9,6,June,6,3.96
49,9,7,July,10,4.04
49,9,8,August,15,4.19
49,9,9,September,6,3.65
49,9,10,October,13,4.0
49,9,11,November,12,3.75
49,9,12,December,13,3.9
50,9,1,January,8,4.0
50,9,2,February,11,4.05
50,9,3,March,7,4.3
50,9,4,April,9,3.9
50,9,5,May,12,4.36
50,9,6,June,12,4.31
50,9,7,July,5,3.81
50,9,8,August,13,3.47
50,9,9,September,7,3.51
50,9,10,October,5,3.16
50,9,11,November,12,3.64
50,9,12,December,9,3.98
51,9,1,January,6,4.25
51,9,2,February,5,4.23
51,9,3,March,6,4.49
51,9,4,April,8,4.02
51,9,5,May,12,4.21
51,9,6,June,5,4.07
51,9,7,July,14,3.63
51,9,8,August,7,4.19
51,9,9,September,14,4.11
51,9,10,October,15,4.09
51,9,11,November,14,4.37
51,9,12,December,5,3.72
52,9,1,January,8,3.59
52,9,2,February,6,3.87
52,9,3,March,13,3.73
52,9,4,April,8,4.03
52,9,5,May,13,3.74
52,9,6,June,13,4.45
52,9,7,July,15,3.59
52,9,8,August,10,3.69
52,9,9,September,11,3.81
52,9,10,October,15,3.55
52,9,11,November,11,3.96
52,9,12,December,9,3.66
53,9,1,January,9,3.93
53,9,2,February,5,4.18
53,9,3,March,6,3.85
53,9,4,April,13,3.97
53,9,5,May,15,4.84
53,9,6,June,11,3.88
53,9,7,July,14,3.91
53,9,8,August,7,3.95
53,9,9,September,9,3.44
53,9,10,October,12,3.61
53,9,11,November,8,3.74
53,9,12,December,7,4.0
54,9,1,January,8,3.5
54,9,2,February,13,4.46
54,9,3,March,15,3.71
54,9,4,April,15,4.04
54,9,5,May,5,4.21
54,9,6,June,7,3.69
54,9,7,July,13,3.52
54,9,8,August,8,4.21
54,9,9,September,10,3.63
54,9,10,October,5,3.32
54,9,11,November,9,3.5
54,9,12,December,10,3.86
55,10,1,January,13,3.63
55,10,2,February,8,3.96
55,10,3,March,9,4.43
55,10,4,April,11,4.24
55,10,5,May,12,3.94
55,10,6,June,15,4.36
55,10,7,July,8,3.75
55,10,8,August,4,4.1
55,10,9,September,15,3.54
55,10,10,October,13,4.09
55,10,11,November,11,4.09
55,10,12,December,4,3.76
56,10,1,January,10,3.84
56,10,2,February,12,3.92
56,10,3,March,7,4.22
56,10,4,April,14,4.33
56,10,5,May,8,4.21
56,10,6,June,11,3.78
56,10,7,July,15,4.32
56,10,8,August,9,3.89
56,10,9,September,8,3.87
56,10,10,October,14,3.37
56,10,11,November,13,3.85
56,10,12,December,12,3.78
57,10,1,January,14,3.65
57,10,2,February,15,3.66
57,10,3,March,13,4.13
57,10,4,April,13,3.96
57,10,5,May,11,4.38
57,10,6,June,15,3.92
57,10,7,July,11,3.95
57,10,8,August,15,3.89
57,10,9,September,8,3.53
57,10,10,October,12,3.18
57,10,11,November,4,3.31
57,10,12,December,4,4.01
58,10,1,January,12,3.73
58,10,2,February,4,3.4
58,10,3,March,9,4.35
58,10,4,April,9,4.11
58,10,5,May,15,3.84
58,10,6,June,5,3.83
58,10,7,July,12,3.56
58,10,8,August,9,3.24
58,10,9,September,7,3.96
58,10,10,October,9,3.78
58,10,11,November,12,3.42
58,10,12,December,13,3.61
59,10,1,January,14,3.42
59,10,2,February,12,3.95
59,10,3,March,10,3.8
59,10,4,April,8,3.88
59,10,5,May,14,3.72
59,10,6,June,7,4.07
59,10,7,July,15,3.98
59,10,8,August,6,3.39
59,10,9,September,13,3.69
59,10,10,October,13,3.54
59,10,11,November,6,3.39
59,10,12,December,8,3.93
60,10,1,January,14,4.01
60,10,2,February,12,4.17
60,10,3,March,15,3.91
60,10,4,April,4,3.49
60,10,5,May,4,3.9
60,10,6,June,11,3.83
60,10,7,July,11,3.83
60,10,8,August,5,3.46
60,10,9,September,6,3.99
60,10,10,October,6,3.35
60,10,11,November,4,3.25
60,10,12,December,15,3.74
61,11,1,January,8,3.95
61,11,2,February,8,4.36
61,11,3,March,6,4.31
61,11,4,April,11,4.67
61,11,5,May,9,3.69
61,11,6,June,9,4.05
61,11,7,July,13,3.67
61,11,8,August,6,3.82
61,11,9,September,6,4.11
61,11,10,October,11,2.93
61,11,11,November,7,4.15
61,11,12,December,4,3.79
62,11,1,January,10,3.71
62,11,2,February,4,3.75
62,11,3,March,4,4.23
62,11,4,April,12,4.36
62,11,5,May,9,4.22
62,11,6,June,5,3.48
62,11,7,July,13,3.39
62,11,8,August,15,3.76
62,11,9,September,9,3.71
62,11,10,October,5,3.62
62,11,11,November,11,3.42
62,11,12,December,5,3.31
63,11,1,January,11,3.49
63,11,2,February,8,4.1
63,11,3,March,15,3.9
63,11,4,April,6,4.0
63,11,5,May,5,4.27
63,11,6,June,5,4.63
63,11,7,July,14,3.9
63,11,8,August,11,4.2
63,11,9,September,13,3.74
63,11,10,October,5,3.69
63,11,11,November,15,3.63
63,11,12,December,11,3.38
64,11,1,January,10,3.46
64,11,2,February,15,4.43
64,11,3,March,11,3.87
64,11,4,April,4,3.97
64,11,5,May,10,3.87
64,11,6,June,13,4.11
64,11,7,July,10,4.37
64,11,8,August,7,3.37
64,11,9,September,10,3.71
64,11,10,October,9,3.36
64,11,11,November,6,3.53
64,11,12,December,6,4.12
65,11,1,January,4,3.76
65,11,2,February,12,3.97
65,11,3,March,12,3.83
65,11,4,April,12,4.25
65,11,5,May,10,3.76
65,11,6,June,11,3.89
65,11,7,July,4,3.77
65,11,8,August,7,3.72
65,11,9,September,6,3.47
65,11,10,October,7,4.13
65,11,11,November,11,3.63
65,11,12,December,12,3.88
66,11,1,January,4,4.29
66,11,2,February,12,4.05
66,11,3,March,11,3.31
66,11,4,April,15,3.84
66,11,5,May,8,4.26
66,11,6,June,12,4.02
66,11,7,July,15,3.73
66,11,8,August,11,3.57
66,11,9,September,12,3.68
66,11,10,October,15,3.46
66,11,11,November,7,3.63
66,11,12,December,10,3.94
67,12,1,January,13,3.87
67,12,2,February,10,4.3
67,12,3,March,10,4.07
67,12,4,April,14,4.2
67,12,5,May,13,4.16
67,12,6,June,4,4.23
67,12,7,July,10,3.83
67,12,8,August,12,4.02
67,12,9,September,10,3.34
67,12,10,October,9,3.92
67,12,11,November,4,3.74
67,12,12,December,4,3.85
68,12,1,January,7,4.48
68,12,2,February,4,3.91
68,12,3,March,4,4.08
68,12,4,April,15,4.29
68,12,5,May,10,4.45
68,12,6,June,14,3.94
68,12,7,July,8,4.15
68,12,8,August,13,3.62
68,12,9,September,15,3.61
68,12,10,October,8,4.24
68,12,11,November,7,4.3
68,12,12,December,14,3.89
69,12,1,January,14,3.88
69,12,2,February,11,4.21
69,12,3,March,8,4.04
69,12,4,April,6,4.39
69,12,5,May,5,4.3
69,12,6,June,11,3.55
69,12,7,July,10,3.43
69,12,8,August,9,3.5
69,12,9,September,12,3.5
69,12,10,October,15,3.84
69,12,11,November,5,3.64
69,12,12,December,12,4.22
70,12,1,January,8,4.04
70,12,2,February,10,4.01
70,12,3,March,4,3.97
70,12,4,April,9,4.35
70,12,5,May,13,4.08
70,12,6,June,9,4.13
70,12,7,July,14,3.78
70,12,8,August,8,3.71
70,12,9,September,14,3.49
70,12,10,October,11,3.46
70,12,11,November,9,3.52
70,12,12,December,7,3.92
71,12,1,January,6,4.22
71,12,2,February,14,4.43
71,12,3,March,6,3.83
71,12,4,April,10,3.83
71,12,5,May,5,3.85
71,12,6,June,13,3.53
71,12,7,July,6,3.74
71,12,8,August,5,3.46
71,12,9,September,15,4.07
71,12,10,October,15,3.45
71,12,11,November,7,3.69
71,12,12,December,9,3.87
72,12,1,January,11,4.23
72,12,2,February,4,3.89
72,12,3,March,15,3.77
72,12,4,April,15,4.51
72,12,5,May,11,4.02
72,12,6,June,10,3.52
72,12,7,July,6,3.76
72,12,8,August,12,3.78
72,12,9,September,7,3.57
72,12,10,October,15,3.38
72,12,11,November,7,3.64
72,12,12,December,9,3.32
73,13,1,January,15,3.85
73,13,2,February,7,4.29
73,13,3,March,5,4.13
73,13,4,April,12,4.17
73,13,5,May,4,3.98
73,13,6,June,15,3.59
73,13,7,July,8,3.93
73,13,8,August,4,4.07
73,13,9,September,12,3.55
73,13,10,October,6,3.53
73,13,11,November,4,4.14
73,13,12,December,5,3.65
74,13,1,January,12,3.98
74,13,2,February,6,3.75
74,13,3,March,5,3.68
74,13,4,April,6,4.3
74,13,5,May,11,3.58
74,13,6,June,12,3.78
74,13,7,July,8,3.88
74,13,8,August,12,3.72
74,13,9,September,9,3.63
74,13,10,October,11,3.39
74,13,11,November,10,4.04
74,13,12,December,7,3.97
75,13,1,January,4,3.93
75,13,2,February,7,3.88
75,13,3,March,14,3.71
75,13,4,April,9,4.75
75,13,5,May,13,4.23
75,13,6,June,11,3.96
75,13,7,July,9,4.13
75,13,8,August,4,3.62
75,13,9,September,11,4.01
75,13,10,October,7,3.84
75,13,11,November,6,3.69
75,13,12,December,13,4.21
76,13,1,January,13,3.7
76,13,2,February,5,3.62
76,13,3,March,7,4.59
76,13,4,April,5,4.0
76,13,5,May,7,3.76
76,13,6,June,10,3.92
76,13,7,July,8,3.54
76,13,8,August,6,4.02
76,13,9,September,7,3.79
76,13,10,October,12,3.24
76,13,11,November,8,3.78
76,13,12,December,9,3.7
77,13,1,January,5,3.84
77,13,2,February,8,4.22
77,13,3,March,4,4.5
77,13,4,April,5,4.45
77,13,5,May,6,4.37
77,13,6,June,9,3.79
77,13,7,July,5,4.09
77,13,8,August,10,3.64
77,13,9,September,15,3.75
77,13,10,October,6,3.57
77,13,11,November,8,3.77
77,13,12,December,5,3.99
78,13,1,January,13,3.93
78,13,2,February,11,3.92
78,13,3,March,15,3.8
78,13,4,April,8,4.36
78,13,5,May,11,4.2
78,13,6,June,5,4.22
78,13,7,July,8,3.89
78,13,8,August,7,4.07
78,13,9,September,8,3.52
78,13,10,October,6,4.0
78,13,11,November,13,4.09
78,13,12,December,12,3.83
79,14,1,January,4,3.71
79,14,2,February,13,4.0
79,14,3,March,14,4.04
79,14,4,April,12,4.36
79,14,5,May,13,4.29
79,14,6,June,6,4.3
79,14,7,July,14,3.83
79,14,8,August,12,3.75
79,14,9,September,14,3.91
79,14,10,October,7,3.77
79,14,11,November,15,3.6
79,14,12,December,7,3.85
80,14,1,January,6,3.51
80,14,2,February,12,3.75
80,14,3,March,12,3.84
80,14,4,April,15,4.15
80,14,5,May,5,4.13
80,14,6,June,7,3.86
80,14,7,July,9,3.89
80,14,8,August,11,3.92
80,14,9,September,13,3.74
80,14,10,October,15,3.94
80,14,11,November,14,3.33
80,14,12,December,7,4.16
81,14,1,January,12,4.08
81,14,2,February,10,3.87
81,14,3,March,4,4.21
81,14,4,April,11,4.72
81,14,5,May,12,3.93
81,14,6,June,12,4.37
81,14,7,July,10,3.18
81,14,8,August,7,3.71
81,14,9,September,7,4.07
81,14,10,October,10,3.88
81,14,11,November,7,3.38
81,14,12,December,7,3.81
82,14,1,January,7,3.73
82,14,2,February,8,3.67
82,14,3,March,11,4.24
82,14,4,April,4,3.77
82,14,5,May,14,4.43
82,14,6,June,11,3.82
82,14,7,July,10,3.79
82,14,8,August,11,3.66
82,14,9,September,7,4.0
82,14,10,October,12,3.74
82,14,11,November,7,3.73
82,14,12,December,15,4.19
83,14,1,January,4,4.1
83,14,2,February,7,3.97
83,14,3,March,10,3.76
83,14,4,April,8,4.56
83,14,5,May,6,4.0
83,14,6,June,4,3.65
83,14,7,July,5,3.6
83,14,8,August,6,3.49
83,14,9,September,13,3.55
83,14,10,October,12,3.58
83,14,11,November,10,4.07
